textID,text,selected_text,sentiment
023d5f0355,"okay, got the card, but my phone is **** up at the moment.  please use email to reach me, sorry",phone is **** up at the moment.,negative
21afcda908,Getting into the swing of things. I miss someone,I miss someone,negative
7e260b1f13,  man i wont be home to co host with you!  xo*blair,n i wont be home to co host with you!,negative
9846f47145," um that`s really scary, please be safe!  Btw ill be in orlando next week","um that`s really scary,",negative
1a18efed96," I got my copy yesterday, too, although right now I`m digging into Scala, so can`t read it just yet...",can`t read it,negative
1c08943537,So Tired. It`s not right to have to get up so early,Tired.,negative
5f4cde780d, Oh no! Dead muffins ... how sad,sad,negative
367f3efaea,Good Morning Folks 13 more days to go! and sadly 2 more days of the Giro  but that means the Tour is not too far away,sadly,negative
a3a881391a,"slept in, missed bus, train delayed, doesn`t stop at my stop, late for work. **** heelllll",missed,negative
4312e14cef, I have that problem with adult shirts too. It`s so annoying since a lot of adult player shirts don`t come in kid sizes,It`s so annoying,negative
af53efe8b1,i deffinately need to clean my bookbag. but no time! i need to leave in the next 5 seconds to not be late to school. ...oh well,i deffinately need to clean my bookbag. but no time! i need to leave in the next 5 seconds to not be late to school. ...oh well,neutral
b5a8bbb329, It`s because we`re right,It`s because we`re right,neutral
79b2115dc0,"has gone through about 6 tea bags , call me obbsessed , i say thirsty","has gone through about 6 tea bags , call me obbsessed , i say thirsty",neutral
10157a4b9f," yeah i think it just depends on what you`re doing with it, but at least im getting it for free  ill miss my sk though",but at least im getting it for free  ill miss my sk though,neutral
66975b37ee,"As Simon/Idol might say, 21life sentences not good enough for Chester Stiles. How can one **** a 2 year old child?!  How the F?  Why?","As Simon/Idol might say, 21life sentences not good enough for Chester Stiles. How can one **** a 2 year old child?!  How the F?  Why?",neutral
bf26e427db,It are mimi time,It are mimi time,neutral
4e5ea1304c,Were at citibank I thought we were gonna go to grannys house but were no,Were at citibank I thought we were gonna go to grannys house but were no,neutral
1b2d3ffabf,"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner","just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner",neutral
d8f3189b95,  haha soooo party tonight???,haha soooo party tonight???,neutral
b8f35742f2," hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you>?","hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you",neutral
284eb96e7b, Thats good!  Keep it up guys! Would love to come down and visit sonetime,Thats good!  Keep it up guys! Would love to come down and visit sonetime,positive
9adff96a3f," I`ve always been pretty athletic, I especially love b-ball. Anyway, yeah I can run",I especially love b-ball.,positive
f82eb16f56," haha, def. That song is EPIC, have fun  i`m listening to new FNB",". That song is EPIC,",positive
a6248bd052, wish you were sluttin it up w me  waaaaaaaaahhhh!!!,wish,positive
eaf89b4158,At the coast. Too many people here i know.  i love you Nicci!,i love you,positive
14f013d638,"_twnzfinest Happy birthday, sweetie. Have a great day in the best place of the word (sorry Chicago  jeje",great day,positive
bc9ee9fc6c, BIG HUG FOR YOU,BIG HUG FOR YOU,positive
24d4fa8e2b,I wanna roc wit`chu . Imy buu,wanna roc wit`chu,positive
8bb02599ed," forward to starting teaching new students all about hypnosis, will have plenty of laughs I`m sure",laughs,positive
e23098b70a,i found a ride...YES!!! liquor here i come,YES!!!,positive
